Year,Month,Day,Period,Spin_Up_R1
2020,1,1,1,27.249
2020,1,1,2,27.24
2020,1,1,3,27.189
2020,1,1,4,27.162
2020,1,1,5,27.228
2020,1,1,6,27.18
2020,1,1,7,27.189
2020,1,1,8,27.15
2020,1,1,9,27.162
2020,1,1,10,27.141
2020,1,1,11,27.15
2020,1,1,12,27.123
2020,1,1,13,27.093
2020,1,1,14,27.102
2020,1,1,15,27.15
2020,1,1,16,27.123
2020,1,1,17,27.123
2020,1,1,18,27.123
2020,1,1,19,27.219
2020,1,1,20,27.228
2020,1,1,21,27.288
2020,1,1,22,27.297
2020,1,1,23,27.327
2020,1,1,24,27.327
2020,1,1,25,27.315
2020,1,1,26,27.462
2020,1,1,27,27.501
2020,1,1,28,27.6
2020,1,1,29,27.57
2020,1,1,30,27.579
2020,1,1,31,27.627
2020,1,1,32,27.675
2020,1,1,33,27.792
2020,1,1,34,27.813
2020,1,1,35,27.783
2020,1,1,36,27.93
2020,1,1,37,27.957
2020,1,1,38,28.017
2020,1,1,39,28.125
2020,1,1,40,28.221
2020,1,1,41,28.347
2020,1,1,42,28.446
2020,1,1,43,28.551
2020,1,1,44,28.737
2020,1,1,45,28.854
2020,1,1,46,29.049
2020,1,1,47,29.31
2020,1,1,48,29.466
2020,1,1,49,29.865
2020,1,1,50,30.147
2020,1,1,51,30.39
2020,1,1,52,30.624
2020,1,1,53,30.888
2020,1,1,54,31.209
2020,1,1,55,31.491
2020,1,1,56,31.917
2020,1,1,57,32.19
2020,1,1,58,32.532
2020,1,1,59,32.931
2020,1,1,60,33.24
2020,1,1,61,33.933
2020,1,1,62,34.311
2020,1,1,63,34.593
2020,1,1,64,34.971
2020,1,1,65,35.196
2020,1,1,66,35.487
2020,1,1,67,35.769
2020,1,1,68,36.033
2020,1,1,69,36.09
2020,1,1,70,36.402
2020,1,1,71,36.501
2020,1,1,72,36.792
2020,1,1,73,36.948
2020,1,1,74,37.131
2020,1,1,75,37.269
2020,1,1,76,37.482
2020,1,1,77,37.296
2020,1,1,78,37.17
2020,1,1,79,37.191
2020,1,1,80,37.2
2020,1,1,81,37.152
2020,1,1,82,37.152
2020,1,1,83,37.044
2020,1,1,84,37.014
2020,1,1,85,36.861
2020,1,1,86,36.9
2020,1,1,87,36.792
2020,1,1,88,36.54
2020,1,1,89,36.345
2020,1,1,90,36.219
2020,1,1,91,35.886
2020,1,1,92,35.664
2020,1,1,93,35.517
2020,1,1,94,35.361
2020,1,1,95,35.178
2020,1,1,96,35.001
2020,1,1,97,34.74
2020,1,1,98,34.68
2020,1,1,99,34.545
2020,1,1,100,34.368
2020,1,1,101,34.185
2020,1,1,102,34.077
2020,1,1,103,33.903
2020,1,1,104,33.804
2020,1,1,105,33.648
2020,1,1,106,33.474
2020,1,1,107,33.405
2020,1,1,108,33.279
